clip_id,source_file,start_sec,end_sec,duration,text,snapped
Muwan_Palassa_140113__0000,Muwan Palassa 140113.mp3,11.038,14.946,3.908,ගුවන් විදුලියට රචනා කරන්නේ කලාශූරී මුදලිනායක සෝමරත්න,True
Muwan_Palassa_140113__0001,Muwan Palassa 140113.mp3,21.51,23.41,1.9,"වෙද මාමා,",False
Muwan_Palassa_140113__0002,Muwan Palassa 140113.mp3,24.382,27.682,3.3,"වෙද මාමා, මාමා ඉන්නවද ගෙදර?",True
Muwan_Palassa_140113__0003,Muwan Palassa 140113.mp3,28.062,29.73,1.668,අනේ ඉස්කෝලෙ නැන්ද ඇවිල්ලා.,True
Muwan_Palassa_140113__0004,Muwan Palassa 140113.mp3,30.302,32.354,2.052,ලියුමකුත් අරගෙනයි එන්නේ සීයේ.,True
Muwan_Palassa_140113__0005,Muwan Palassa 140113.mp3,32.354,35.746,3.392,ආහ්.. මට පේනවා පේනවා.,True
Muwan_Palassa_140113__0006,Muwan Palassa 140113.mp3,36.478,41.922,5.444,"ඕ මෙ බණ්ඩියා, මේ ඖෂධ ටිකක් හොයාගෙන්න එන්ට මං බණ්ඩියා පිටත් කෙරුවා.",True
Muwan_Palassa_140113__0007,Muwan Palassa 140113.mp3,43.934,46.754,2.82,කෝ නාමෙල්?,True
Muwan_Palassa_140113__0008,Muwan Palassa 140113.mp3,46.91,51.234,4.324,ආං තාමත් අර බෙහෙත් ඔරුවේ දිගාවෙලා පොතක් කියවනවා.,True
Muwan_Palassa_140113__0009,Muwan Palassa 140113.mp3,51.39,54.37,2.98,පොත් කියවන්නෙ නැතුව ඉන්ටම බෑ එයාට.,True
Muwan_Palassa_140113__0010,Muwan Palassa 140113.mp3,54.37,57.826,3.456,ඔය කියවන පිස්සුව කවදා ඇරෙයිද මං දන්නෑ.,True
Muwan_Palassa_140113__0011,Muwan Palassa 140113.mp3,57.826,64.45,6.624,පොත්පත් කියවන එක බොහෝම හොඳ වැදගත් මානසික ව්‍යායාමයක්.,True
Muwan_Palassa_140113__0012,Muwan Palassa 140113.mp3,103.87,108.354,4.484,නේද ඉස්කෝලෙ නෝනි?,True
Muwan_Palassa_140113__0013,Muwan Palassa 140113.mp3,108.99,111.458,2.468,වාඩිවෙන්ටකෝ වාඩිවෙන්ටකෝ.,True
Muwan_Palassa_140113__0014,Muwan Palassa 140113.mp3,112.03,114.754,2.724,"ඔහොම ටිකක් ඉන්ට, මං අර බණ්ඩියා හොයාගෙන එනකල්.",True
Muwan_Palassa_140113__0015,Muwan Palassa 140113.mp3,116.094,120.45,4.356,හොඳයි මාමා.,True
Muwan_Palassa_140113__0016,Muwan Palassa 140113.mp3,120.606,122.402,1.796,වෙද මාමා කීවෙ පොතපත කියවන එක ගැනනෙ.,True
Muwan_Palassa_140113__0017,Muwan Palassa 140113.mp3,123.87,128.93,5.06,කියවන්නෙ මොන පොතපතද කියන එක තමයි වෙද මාමගෙ ප්‍රශ්නෙ.,True
Muwan_Palassa_140113__0018,Muwan Palassa 140113.mp3,129.054,130.754,1.7,කොහොමද ඉස්කෝලෙ නැන්දි?,True
Muwan_Palassa_140113__0019,Muwan Palassa 140113.mp3,130.754,134.146,3.392,කොහොමද මුවන්පැලැස්සෙ අපේ මැදි විදුහලෙ තොරතුරු?,True
Muwan_Palassa_140113__0020,Muwan Palassa 140113.mp3,134.526,142.05,7.524,ඒවා ගැන අහන්ට කලින් නාමෙල්ගෙ සෞඛ්‍ය තත්වය කොහොමද කියලා දැනගෙන එන්ට කියලා තමයි අපේ ලොකු ඉස්කෝලෙ මහත්තයා මට කිව්වෙ.,True
Muwan_Palassa_140113__0021,Muwan Palassa 140113.mp3,143.038,145.858,2.82,ආං ඒ හින්දා මං තක්කහනියක් මෙහාට අද ආවෙ.,True
Muwan_Palassa_140113__0022,Muwan Palassa 140113.mp3,147.262,150.786,3.524,"මේ වෙද සියටයි බිසෝටයි ඉස්කෝලෙ නැන්දටයි පින් සිද්ධ වෙන්ට,",True
Muwan_Palassa_140113__0023,Muwan Palassa 140113.mp3,151.326,153.154,1.828,දැන් මට සියයට අනූවක් තරම් සනීපයි.,True
Muwan_Palassa_140113__0024,Muwan Palassa 140113.mp3,154.206,163.906,9.7,"මමනම් හිතුවෙ නෑ මට ආයෙත් කවදාවත් නැගිටින්ට, ඇවිදින්ට, කල්පනා කරන්ට පුළුවන් වෙයි කියලා.",True
Muwan_Palassa_140113__0025,Muwan Palassa 140113.mp3,218.59,222.338,3.748,මට තාමත් සැකයි උන් ගැන ඉස්කෝලෙ නැන්දෙ.,True
Muwan_Palassa_140113__0026,Muwan Palassa 140113.mp3,222.494,226.37,3.876,ඒ කියන්නෙ තාමත් ඒ ප්‍රශ්නෙ ඉවර වෙලා නෑ.,True
Muwan_Palassa_140113__0027,Muwan Palassa 140113.mp3,226.526,230.37,3.844,මෙයා පංගුවක්දාරයාට මිනි මරනෝ ඕ කියගෙන කෑගහනවා.,True
Muwan_Palassa_140113__0028,Muwan Palassa 140113.mp3,231.358,233.378,2.02,හීනෙන් බය වෙලාද මං දන්නෑ.,True
Muwan_Palassa_140113__0029,Muwan Palassa 140113.mp3,233.598,236.578,2.98,ඉතිං අපේ වෙද සීයා අවදි වෙලා මෙයාගෙ කාමරේට ගිහිං,True
Muwan_Palassa_140113__0030,Muwan Palassa 140113.mp3,237.374,240.962,3.588,"නෑ නෑ, මුල් දවස්වල මං එහෙම කෑගහන්ට ඇති.",True
Muwan_Palassa_140113__0031,Muwan Palassa 140113.mp3,241.246,242.818,1.572,නමුත් දැන් මට හොඳට නින්ද යනවා.,True
Muwan_Palassa_140113__0032,Muwan Palassa 140113.mp3,243.87,250.61,6.74,මෙන්න මේ අපේ ඉස්කෝලෙ ලොකු මහත්තයා මේ ලියුම නාමෙල්ට දෙන්ට කිව්වා.,True
Muwan_Palassa_140113__0033,Muwan Palassa 140113.mp3,250.61,252.29,1.68,ඒක බලන්ටකෝ.,False
Muwan_Palassa_140113__0034,Muwan Palassa 140113.mp3,252.29,256.45,4.16,"හානේ, මොනවද ලියුමෙ ලියලා තියෙන්නෙ නැන්දි?",True
Muwan_Palassa_140113__0035,Muwan Palassa 140113.mp3,257.662,260.77,3.108,මෙයාට ඈත පළාතක ගුරු පත්වීමක් අරන් දීලද?,True
Muwan_Palassa_140113__0036,Muwan Palassa 140113.mp3,260.894,263.266,2.372,"එතකොට මට මොකද වෙන්නෙ, ඈ?",True
